company_name,domain,role_bucket,full_name,first_name,last_name,title,headline,location,linkedin_url,company_linkedin_url
Gradial,gradial.com,tech_product,Deip Kumar,Deip,Kumar,Co-founder CTO,Co-Founder / CTO at Gradial,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/deip-kumar,https://www.linkedin.com/company/gradialai
Gradial,gradial.com,tech_product,Chris Grothkopp,Chris,Grothkopp,"VP, Forward Deploy Product Management","Digital Strategy, Product & Operations Leader","{'city': 'Seattle', 'state_code': 'WA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/chrisgrothkopp,https://www.linkedin.com/company/gradialai
TENEX.AI,tenex.ai,decision_maker,Ryan Shreve,Ryan,Shreve,Co-founder & CFO COO,Co-Founder & CFO/COO - TENEX.AI,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ryan-shreve,https://www.linkedin.com/company/tenex-ai
TENEX.AI,tenex.ai,decision_maker,Eric Foster,Eric,Foster,Chief Executive Officer,"CEO of TENEX.AI: The AI SOC Company. The only AI-native MDR led by operators who’ve built MDR before, with founding engineers from the hyperscalers and leading AI labs. Named the #1 fastest-growing cybersecurity company.","{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ericfoster,https://www.linkedin.com/company/tenex-ai
TENEX.AI,tenex.ai,tech_product,Venki M,Venki,M,Director of Engineering,Director of Engineering | Enterprise AI & Cloud Security | Security & Platform Expertise | MDR | 0-​>1 Innovation,"{'city': 'Kansas City', 'state_code': 'MO', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/vm34,https://www.linkedin.com/company/tenex-ai
TENEX.AI,tenex.ai,tech_product,Ryan Edison,Ryan,Edison,Director of Customer Engineering,"AI Security 🧑‍💻 | Sales Engineer 💼 | Security Operations SME 🔐 | Technologist 📱| Data Nerd 🤓 | Motorsports Superfan 🏎️ | Ex. Protiviti, RSM Consulting","{'city': 'St. Petersburg', 'state_code': 'FL', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ryanedison,https://www.linkedin.com/company/tenex-ai
"Litmus (Litmus Automation, Inc.)",litmus.io,decision_maker,Sacha Sawaya,Sacha,Sawaya,Co-founder CFO,Co-founder/CFO @ Litmus,"{'city': None, 'state_code': None, 'country_code': 'CA', 'continent': 'North America'}",https://www.linkedin.com/in/sachasawaya,https://www.linkedin.com/company/litmus-automation
"Litmus (Litmus Automation, Inc.)",litmus.io,decision_maker,John Younes,John,Younes,Co-founder & COO,,"{'city': 'Toronto', 'state_code': 'ON', 'country_code': 'CA', 'continent': 'North America'}",https://www.linkedin.com/in/johnyounes,https://www.linkedin.com/company/litmus-automation
"Litmus (Litmus Automation, Inc.)",litmus.io,tech_product,Atul Gore,Atul,Gore,Head of Product Engineering - Litmus Gcc,Head of Product Engg. - Litmus GCC,"{'city': None, 'state_code': None, 'country_code': 'IN', 'continent': 'Asia'}",https://www.linkedin.com/in/atulvgore,https://www.linkedin.com/company/litmus-automation
saas.group,saas.group,tech_product,Daniel Thulfaut,Daniel,Thulfaut,Head of Product,"Head of Product (100M+ ARR SaaS Portfolio) | Coach, Book Author & University Lecturer","{'city': 'Aachen', 'state_code': None, 'country_code': 'DE', 'continent': 'Europe'}",https://www.linkedin.com/in/daniel-thulfaut,https://www.linkedin.com/company/saas-group
saas.group,saas.group,tech_product,Lucile Bompard,Lucile,Bompard,Brand Head of Product,Product Leader,"{'city': None, 'state_code': None, 'country_code': 'FR', 'continent': 'Europe'}",https://www.linkedin.com/in/lucilebompard,https://www.linkedin.com/company/saas-group
saas.group,saas.group,tech_product,David Khalil,David,Khalil,Partner,"Investor and Entrepreneur, Partner and CFO @ saas.group","{'city': 'Scottsdale', 'state_code': 'AZ', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/david-khalil-6a5b957,https://www.linkedin.com/company/saas-group
Pivotal Health,pivotalhealth.ai,decision_maker,Max Mangum,Max,Mangum,Co-founder & CEO,Co-Founder & CEO @ Pivotal Health,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/max-mangum-a1968b103,https://www.linkedin.com/company/pivotal-health-ai
Pivotal Health,pivotalhealth.ai,decision_maker,Felix Lung,Felix,Lung,Chief Technology Officer,"Experienced Tech Leader, CTO & Startup Co-Founder | Innovator in Scaling Teams & Building High-Impact Products | Angel Investor","{'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/flung,https://www.linkedin.com/company/pivotal-health-ai
Pivotal Health,pivotalhealth.ai,tech_product,Michael van Winkle,Michael,van Winkle,Director of Infrastructure,"Director of Engineering - Infrastructure @ Pivotalhealth.ai, formerly Sonos, Zendesk, WP Engine","{'city': 'Petaluma', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/michael-van-winkle-78a4903,https://www.linkedin.com/company/pivotal-health-ai
Hyperbolic Labs,hyperbolic.ai,decision_maker,Connor Chevli,Connor,Chevli,Co-Founder & CTO @Walton,Co-Founder & CTO @Walton,"{'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/connorch,https://www.linkedin.com/company/hyperbolic-labs
Hyperbolic Labs,hyperbolic.ai,decision_maker,Mark P. Beltran,Mark,Beltran,Consulting Chief Financial Officer,CFO | COO | VC & PE-Backed Startups | SaaS | AI | Web3 | Investor | Board Member | 4 x Founder,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/mbeltran,https://www.linkedin.com/company/hyperbolic-labs
Qdrant,qdrant.tech,decision_maker,Andrey Vasnetsov,Andrey,Vasnetsov,"Co-founder, CTO","Co-Founder of Qdrant, CTO","{'city': 'Berlin', 'state_code': None, 'country_code': 'DE', 'continent': 'Europe'}",https://www.linkedin.com/in/andrey-vasnetsov-75268897,https://www.linkedin.com/company/qdrant
Qdrant,qdrant.tech,decision_maker,Andre Zayarni,Andre,Zayarni,Co-founder & CEO,,"{'city': 'Berlin', 'state_code': None, 'country_code': 'DE', 'continent': 'Europe'}",https://www.linkedin.com/in/zayarni,https://www.linkedin.com/company/qdrant
Qdrant,qdrant.tech,tech_product,Bastian Hofmann,Bastian,Hofmann,Head of Product,Bringing the Qdrant vector database to enterprises,"{'city': 'Berlin', 'state_code': None, 'country_code': 'DE', 'continent': 'Europe'}",https://www.linkedin.com/in/bastianhofmann,https://www.linkedin.com/company/qdrant
Hilbert (Hilbert AI Co.),hilberts.ai,decision_maker,Nazli Tan,Nazli,Tan,"Co-founder, CEO","Co-Founder, CEO @ Hilbert","{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/nazlitan,https://www.linkedin.com/company/hilbertsai
saas.group (AddSearch brand),saas.group,tech_product,Daniel Thulfaut,Daniel,Thulfaut,Head of Product,"Head of Product (100M+ ARR SaaS Portfolio) | Coach, Book Author & University Lecturer","{'city': 'Aachen', 'state_code': None, 'country_code': 'DE', 'continent': 'Europe'}",https://www.linkedin.com/in/daniel-thulfaut,https://www.linkedin.com/company/saas-group
saas.group (AddSearch brand),saas.group,tech_product,Lucile Bompard,Lucile,Bompard,Brand Head of Product,Product Leader,"{'city': None, 'state_code': None, 'country_code': 'FR', 'continent': 'Europe'}",https://www.linkedin.com/in/lucilebompard,https://www.linkedin.com/company/saas-group
saas.group (AddSearch brand),saas.group,tech_product,David Khalil,David,Khalil,Partner,"Investor and Entrepreneur, Partner and CFO @ saas.group","{'city': 'Scottsdale', 'state_code': 'AZ', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/david-khalil-6a5b957,https://www.linkedin.com/company/saas-group
"Boam AI (Gigabite, Inc.)",boam.ai,decision_maker,Daniel P.,Daniel,P.,CEO & Co-founder,,"{'city': 'Miami', 'state_code': 'FL', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/danielpetz,https://www.linkedin.com/company/boam
"Boam AI (Gigabite, Inc.)",boam.ai,tech_product,Sandor Murakozi,Sandor,Murakozi,Head of Engineering,,"{'city': 'Budapest', 'state_code': None, 'country_code': 'HU', 'continent': 'Europe'}",https://www.linkedin.com/in/sandor-murakozi-6a983025,https://www.linkedin.com/company/boam
"Koalafi (West Creek Financial, Inc.)",koalafi.com,decision_maker,Paul Gilman,Paul,Gilman,Chief Operating Officer,COO at Koalafi,"{'city': 'Richmond', 'state_code': 'VA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/paul-gilman-5147937,https://www.linkedin.com/company/koalafi
"Koalafi (West Creek Financial, Inc.)",koalafi.com,decision_maker,Chris Wash,Chris,Wash,"Vice President, Devops",Senior Vice President of Engineering | fintech startup Koalafi,"{'city': 'Richmond', 'state_code': 'VA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/cbwash,https://www.linkedin.com/company/koalafi
"Koalafi (West Creek Financial, Inc.)",koalafi.com,tech_product,Tom Guo,Tom,Guo,Senior Director of Engineering,Senior Director of Engineering | GTM Systems | Architect,"{'city': 'Washington', 'state_code': 'DC', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/tom-guo-148a6220,https://www.linkedin.com/company/koalafi
"Koalafi (West Creek Financial, Inc.)",koalafi.com,tech_product,Russell Korte,Russell,Korte,Chief Financial Officer,,"{'city': 'Austin', 'state_code': 'TX', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/russellkorte,https://www.linkedin.com/company/koalafi
"Koalafi (West Creek Financial, Inc.)",koalafi.com,tech_product,Pat Butler,Pat,Butler,Director of Software Engineering,,"{'city': 'Richmond', 'state_code': 'VA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/pat-butler-61154b63,https://www.linkedin.com/company/koalafi
Alternative Payments,alternativepayments.io,decision_maker,Fernando Bandeira,Fernando,Bandeira,Co-founder,Co-Founder @ Alternative Payments,"{'city': 'Florianopolis', 'state_code': None, 'country_code': 'BR', 'continent': 'South America'}",https://www.linkedin.com/in/fernandobandeira,https://www.linkedin.com/company/alternativepayments
Alternative Payments,alternativepayments.io,decision_maker,Baxter Lanius,Baxter,Lanius,CEO & Founder,CEO & Founder @ Alternative Payments (We\'re Hiring),"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/baxterlaniusiv,https://www.linkedin.com/company/alternativepayments
Alternative Payments,alternativepayments.io,tech_product,Darlan Borges,Darlan,Borges,VP of Engineering,Engineering Leader,"{'city': 'São Paulo', 'state_code': None, 'country_code': 'BR', 'continent': 'South America'}",https://www.linkedin.com/in/darlan-borges-aba63272,https://www.linkedin.com/company/alternativepayments
Alternative Payments,alternativepayments.io,tech_product,Guilherme R.,Guilherme,R.,Product Manager,"Head of Product | Fintechs, Payments & Regulated Products | Expert in BaaS, Embedded Finance & Product Teams | Ex-Intel, SumUp","{'city': 'São Paulo', 'state_code': None, 'country_code': 'BR', 'continent': 'South America'}",https://www.linkedin.com/in/guilhermerhc,https://www.linkedin.com/company/alternativepayments
DualEntry (Entry Inc.),dualentry.com,decision_maker,Benedict Dohmen,Benedict,Dohmen,Co-founder,Co-Founder at DualEntry,"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ai-accounting,https://www.linkedin.com/company/dualentry
DualEntry (Entry Inc.),dualentry.com,decision_maker,Julia Datsyuk,Julia,Datsyuk,Head of Content,Head of Content @ DualEntry | ex-Content @ Fuel | B2B & founder content systems🍓,"{'city': None, 'state_code': None, 'country_code': 'UA', 'continent': 'Europe'}",https://www.linkedin.com/in/yuliyadatsyuk,https://www.linkedin.com/company/dualentry
DualEntry (Entry Inc.),dualentry.com,tech_product,Woosung Chun,Woosung,Chun,CFO,CFO at DualEntry,"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/woosung-chun-89b47091,https://www.linkedin.com/company/dualentry
DualEntry (Entry Inc.),dualentry.com,tech_product,Mary Velasquez,Mary,Velasquez,Strategic Finance and Fp & a Expert,"CFO | Strategic Finance Leader | Scaled ARR $5 M → $100M+ | ex‑EY, ex-Apple | NYU \'15","{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/mary-velasquez-421871360,https://www.linkedin.com/company/dualentry
Basic Capital,basiccapital.com,decision_maker,Abdul al-Asaad,Abdul,al-Asaad,"Co-founder, CEO","Co-founder, CEO at Basic Capital","{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/abdul-alasaad,https://www.linkedin.com/company/basic-capital
Basic Capital,basiccapital.com,tech_product,Hunter Hopcroft,Hunter,Hopcroft,Head of Editorial and Product Marketing,"Writer and investor, usually in that order.","{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/hunter-hopcroft-12204129a,https://www.linkedin.com/company/basic-capital
Thera,getthera.com,decision_maker,Akhil Reddy,Akhil,Reddy,Founder & CEO,CEO @ Thera | Modern Payroll,"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/reddyakhil,https://www.linkedin.com/company/getthera
Decile Group,decilegroup.com,decision_maker,Adeo Ressi,Adeo,Ressi,CEO,"Backing Emerging VC Managers Worldwide | CEO, Decile Group | Chairman, Founder Institute | Inventor of the SAFE Note","{'city': 'Los Altos', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/adeoressi,https://www.linkedin.com/company/decilegroup
Decile Group,decilegroup.com,decision_maker,Yu Li Shein,Yu,Shein,Venture Scout,"Co-Founder, Openfor.co | Director, Founder Institute (JP/KR/TW) | Venture Scout of Decile Hub Group | Early-Stage VC & Ecosystem Builder | 70+ Startup Porfilios | Visiting Professor","{'city': 'Tokyo', 'state_code': None, 'country_code': 'JP', 'continent': 'Asia'}",https://www.linkedin.com/in/yulishein,https://www.linkedin.com/company/decilegroup
OpenFX,openfx.com,tech_product,Nathan Hill,Nathan,Hill,Head of Product,"Head of Product at OpenFX | Ex-FalconX, Kraken, PayPal","{'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/nathan-hill-openfx,https://www.linkedin.com/company/openfx
Unlock Health,unlockhealth.com,decision_maker,Matt Pappas,Matt,Pappas,"Vice President, Finance","Vice President, Finance at Unlock Health","{'city': 'Nashville', 'state_code': 'TN', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/pappas3,https://www.linkedin.com/company/gounlock
Unlock Health,unlockhealth.com,decision_maker,Laura Rice,Laura,Rice,"Vice President, Growth Strategy & Enablement","Vice President, Enterprise Growth","{'city': 'Nashville', 'state_code': 'TN', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/lauraelrice,https://www.linkedin.com/company/gounlock
Wonderschool,wonderschool.com,decision_maker,Emma Harris,Emma,Harris,VP,Co-Founder @ EarlyDay,"{'city': 'Miami', 'state_code': 'FL', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/emma-harris25,https://www.linkedin.com/company/wonderschool
Wonderschool,wonderschool.com,decision_maker,Matthew Shaw,Matthew,Shaw,Government Partnerships,"Co-founder, Current Media","{'city': 'Santa Monica', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/mshaw1515,https://www.linkedin.com/company/wonderschool
Wonderschool,wonderschool.com,tech_product,Paul Acevedo,Paul,Acevedo,CTO & Head of Product,Product Leader,"{'city': 'Mountain View', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/p-acevedo,https://www.linkedin.com/company/wonderschool
